Date,Oklahoma City Thunder,New York Knicks,Los Angeles Lakers,Golden State Warriors,Chicago Bulls,Boston Celtics,Los Angeles Clippers,Brooklyn Nets,Houston Rockets,Dallas Mavericks,Miami Heat,Cleveland Cavaliers,San Antonio Spurs,Toronto Raptors,Phoenix Suns,Sacramento Kings,Portland Trail Blazers,Washington Wizards,Orlando Magic,Utah Jazz,Detroit Pistons,Denver Nuggets,Atlanta Hawks,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Milwaukee Bucks,Charlotte Hornets,Minnesota Timberwolves,New Orleans Pelicans
2018-01,60960,63953,131028,156145,77665,115720,73033,53385,61408,52301,62524,105071,63373,71741,38439,50456,38795,44084,43523,39724,79616,34492,38739,33591,67868,32525,60161,76104,54857,71963
2018-02,59073,67902,143715,143074,83166,131415,56306,51871,66835,55196,81751,196462,63350,67694,44665,60592,38905,45708,40712,57630,72666,38975,37106,32801,81114,31614,46778,70854,45946,61782
2018-03,57248,56212,113480,128505,71223,89277,47582,47179,78938,43722,61911,100037,71995,90848,38959,54995,52894,46117,37488,48851,53424,34375,38006,33699,77373,37212,52210,82905,49918,67281
2018-04,79405,61165,116814,161212,80433,114645,43322,44503,84960,41309,77255,119940,101964,115550,37720,49582,56011,61533,38229,107147,51659,37747,37574,75701,176347,34202,82675,83785,64192,147764
2018-05,69739,72807,146873,414497,130206,296403,46627,47208,198245,49613,88846,264983,73196,153698,57463,58498,34282,47502,46928,77219,73458,30990,59808,35581,117317,37846,47382,88453,34577,107282
2018-06,73565,72038,191306,653143,147519,130996,52644,52439,65902,81887,103378,241062,91319,56314,59233,61183,36826,58440,46620,42770,78289,44199,48550,31299,80881,34713,41508,81022,34708,40926
2018-07,65338,71083,456698,217947,84030,100945,60818,51806,60605,66063,70471,115784,98037,99477,47422,58337,40467,50152,44320,39262,57161,51443,54316,33856,68230,37395,49832,76206,36245,52091
2018-08,35091,46183,127760,97590,51188,60877,37004,34714,53112,37506,39830,54157,53788,41911,28873,31132,25887,30791,26926,27985,40559,30991,37102,21662,41659,26120,32307,44028,26534,28233
2018-09,30311,41658,116752,93845,47295,57290,37840,32729,39546,38297,37260,44065,39942,39808,30375,27987,24383,28324,28519,26622,35451,24752,31315,19422,40635,21374,29117,43751,35884,26356
2018-10,62954,70953,193681,187726,71149,101573,61107,55008,61032,56568,50375,77102,60834,75888,47252,50770,61158,44641,40217,44428,58386,49949,52003,30783,61403,34950,61289,71443,51247,58827
